STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Malad,,10:04,ON SAT,10:08,10:08,,,,,10:13,10:13,,,,,,,10:16,10:16,,,,,,,,,,,,,,,,,,,,,
Goregaon,,10:07,& SUN,10:11,10:11,10:11,10:11,,,10:16,10:16,,,,,10:18,10:18,10:19,10:19,,,,,,,,,,,,,,,,,,,,,
Ram Mandir,,10:09,NON AC,10:13,10:13,10:15,10:15,,,10:18,10:18,,,,,10:21,10:21,--,--,,,,,,,,,,,,,,,,,,,,,
Jogeshwari,,10:12,,10:16,10:16,10:17,10:17,,,10:21,10:21,,,,,10:24,10:24,10:24,10:24,,,,,,,,,,,,,,,,,,,,,
ANDHERI,,10:17,10:15,10:21,10:21,10:22,10:22,,,10:26,10:26,10:18,10:18,10:25,10:25,10:27,10:27,10:28,10:28,10:29,10:29,,,10:31,10:31,,,,,,,,,,,,,,,
Vile Parle,,10:21,Air,10:24,10:24,10:26,10:26,,,10:29,10:29,,,,,10:33,10:33,,,,,,,10:36,10:36,,,,,,,,,,,,,,,
Santa Cruz,,10:24,Condition,10:27,10:27,10:29,10:29,,,10:32,10:32,,,,,10:36,10:36,,,,,,,10:39,10:39,,,,,,,,,,,,,,,
Khar Road,,10:27,,10:30,10:30,10:32,10:32,,,10:35,10:35,,,,,10:39,10:39,,,,,,,10:42,10:42,,,,,,,,,,,,,,,
BANDRA,,10:31,10:25,10:34,10:34,10:37,10:37,,,10:40,10:40,10:28,10:28,10:35,10:35,10:44,10:44,10:38,10:38,,,,,10:47,10:47,,,,,,,,,,,,,,,
Mahim Jn.,,10:34,,10:38,10:38,10:41,10:41,,,10:44,10:44,,,,,10:47,10:47,,,,,,,10:50,10:50,,,,,,,,,,,,,,,
Matunga Road,,10:37,,10:41,10:41,10:44,10:44,,,10:47,10:47,,,,,10:50,10:50,,,,,,,10:53,10:53,,,,,,,,,,,,,,,
DADAR,,10:41,10:31,10:45,10:45,10:48,10:48,,,10:51,10:51,10:34,10:34,10:40,10:40,10:54,10:54,10:44,10:44,,,,,10:57,10:57,,,,,,,,,,,,,,,
Prabhadevi,,10:43,,10:47,10:47,10:50,10:50,,,10:53,10:53,,,,,10:56,10:56,,,,,,,10:59,10:59,,,,,,,,,,,,,,,
