STATIONS DN TRAINS,VR 92121 15 CAR,BVI 90577 12 CAR,BVI 90579 12 CAR,BVI 90579 12 CAR.1,GMN 90581 12 CAR,GMN 90581 12 CAR.1,GMN 90581 12 CAR.2,BVI 90583 12 CAR,BVI 90583 12 CAR.1,BVI 90583 12 CAR.2,VR 90585 12 CAR,VR 90585 12 CAR.1,VR 90585 12 CAR.2,BVI 90587 12 CAR,BVI 90587 12 CAR.1,BVI 90587 12 CAR.2,DRD 93027 12 CAR,DRD 93027 12 CAR.1,DRD 93027 12 CAR.2,BVI 90589 12 CAR,BVI 90589 12 CAR.1,BVI 90589 12 CAR.2,VR 94049 12 CAR,VR 94049 12 CAR.1,VR 94049 12 CAR.2,VR 94049 12 CAR.3,GMN 90593 12 CAR,GMN 90593 12 CAR.1,GMN 90593 12 CAR.2,GMN 90593 12 CAR.3,VR 92123 15 CAR,VR 92123 15 CAR.1,VR 92123 15 CAR.2,VR 92123 15 CAR.3,VR 92123 15 CAR.4,BVI 90595 12 CAR,BVI 90595 12 CAR.1,BVI 90595 12 CAR.2,BYR 90597 12 CAR,BYR 90597 12 CAR.1,BYR 90597 12 CAR.2,Unnamed: 42,Unnamed: 43,Unnamed: 44
STATIONS DN TRAINS,BVI 90623 12 CAR,VR 92129 15 CAR,VR 92129 15 CAR,VR 92131 15 CAR,VR 92131 15 CAR,GMN 90625 12 CAR,GMN 90625 12 CAR,GMN 90625 12 CAR,BVI 90627 12 CAR,BVI 90627 12 CAR,BVI 90627 12 CAR,VR 92133 12 CAR,VR 92133 12 CAR,VR 92133 12 CAR,VR 92135 15 CAR,VR 92135 15 CAR,VR 92135 15 CAR,VR 90631 12 CAR,VR 90631 12 CAR,VR 90631 12 CAR,BVI 90633 12 CAR,BVI 90633 12 CAR,BVI 90633 12 CAR,BVI 90635 12 CAR,BVI 90635 12 CAR,BVI 90635 12 CAR,BVI 90635 12 CAR,BYR 90637 12 CAR,BYR 90637 12 CAR,BYR 90637 12 CAR,BYR 90637 12 CAR,VR 92137 15 CAR,VR 92137 15 CAR,VR 92137 15 CAR,VR 92137 15 CAR,VR 90639 12 CAR,VR 90639 12 CAR,VR 90639 12 CAR,BVI 90641 12 CAR,BVI 90641 12 CAR,BVI 90641 12 CAR,,,
CHURCHGATE,16:05,16:05,16:05,,,16:08,16:08,16:08,16:11,16:11,16:11,,,,16:12,16:12,16:12,16:16,16:16,16:16,,,,16:21,16:21,16:21,16:21,16:21,16:21,16:21,16:21,,,,,,,,16:27,16:27,16:27,,,
Marine Lines,16:08,,,,,16:11,16:11,16:11,16:14,16:14,16:14,,,,,,,16:19,16:19,16:19,,,,16:24,16:24,16:24,16:24,16:24,16:24,16:24,16:24,,,,,,,,16:30,16:30,16:30,,,
Charni Road,16:10,,,,,16:13,16:13,16:13,16:16,16:16,16:16,,,,,,,16:21,16:21,16:21,,,,16:26,16:26,16:26,16:26,16:26,16:26,16:26,16:26,,,,,,,,16:32,16:32,16:32,,,
Grant Road,16:13,,,,,16:16,16:16,16:16,16:19,16:19,16:19,,,,,,,16:24,16:24,16:24,,,,16:29,16:29,16:29,16:29,16:29,16:29,16:29,16:29,,,,,,,,16:35,16:35,16:35,,,
M'BAI CENTRAL (L),16:15,16:14,16:14,,,16:18,16:18,16:18,16:21,16:21,16:21,,,,16:22,16:22,16:22,16:26,16:26,16:26,,,,16:31,16:31,16:31,16:31,16:31,16:31,16:31,16:31,,,,,,,,16:37,16:37,16:37,,,
Mahalakshmi Lower Parel Prabhadevi DADAR,16:18 16:21 16:24 16:26,NOT ON SUN ONLY 16:21,NOT ON SUN ONLY 16:21,,,16:21 16:24 16:27 16:29,16:21 16:24 16:27 16:29,16:21 16:24 16:27 16:29,16:24 16:27 16:30 16:32,16:24 16:27 16:30 16:32,16:24 16:27 16:30 16:32,,,,16:29,16:29,16:29,16:33,16:33,16:33,16:30 16:33 16:36 16:38,16:30 16:33 16:36 16:38,16:30 16:33 16:36 16:38,16:34 16:37 16:40 16:42,16:34 16:37 16:40 16:42,16:34 16:37 16:40 16:42,16:34 16:37 16:40 16:42,16:38,16:38,16:38,16:38,,,,,16:50,16:50,16:50,16:40 16:43 16:46 16:48,16:40 16:43 16:46 16:48,16:40 16:43 16:46 16:48,,,
Matunga Road Mahim Jn. BANDRA,16:28 16:31 16:35,16:26,16:26,,,16:31 16:34 16:38,16:31 16:34 16:38,16:31 16:34 16:38,16:34 16:37 16:41,16:34 16:37 16:41,16:34 16:37 16:41,,,,16:34,16:34,16:34,16:38,16:38,16:38,16:40 16:43 16:47,16:40 16:43 16:47,16:40 16:43 16:47,16:44 16:47 16:51,16:44 16:47 16:51,16:44 16:47 16:51,16:44 16:47 16:51,16:43,16:43,16:43,16:43,,,,,16:57,16:57,16:57,16:50 16:53 16:57,16:50 16:53 16:57,16:50 16:53 16:57,,,
Khar Road,16:38,,,,,16:41,16:41,16:41,16:44,16:44,16:44,,,,,,,,,,16:50,16:50,16:50,16:54,16:54,16:54,16:54,,,,,,,,,,,,17:00,17:00,17:00,,,
Santa Cruz,16:40,,,,,16:43,16:43,16:43,16:47,16:47,16:47,,,,,,,,,,16:53,16:53,16:53,16:57,16:57,16:57,16:57,,,,,,,,,,,,17:03,17:03,17:03,,,
