STATIONS DN TRAINS,BVI 90841 12 CAR,BVI 90843 12 CAR,GMN 90845 12 CAR,DRD 93035 12 CAR,VR 94069 12 CAR,BVI 90849 12 CAR,VR 90851 12 CAR,BVI 90853 12 CAR,BA 90855 12 CAR,GMN 90857 12 CAR,BVI 90859 12 CAR,GMN 90861 12 CAR,BVI 90863 12 CAR,VR 92183 15 CAR
Khar Road,,,,22:36,22:39,22:43,,,,,22:54,,22:59,
Santa Cruz,,,,22:38,22:41,22:45,,,,,22:56,,23:01,
Vile Parle,,,,22:41,22:44,22:48,,,,,22:59,,23:04,
ANDHERI,22:39,22:29,22:33,22:47,22:50,22:54,,22:44,22:48,,23:05,22:54,23:09,23:00
Jogeshwari,22:44,,,22:50,22:53,22:57,,22:47,,,23:08,22:57,23:12,
Ram Mandir,22:47,ON SAT,,22:53,22:56,23:00,,--,,,23:11,--,23:15,
Goregaon,22:49,& SUN,,22:55,22:58,23:02,,22:52,,,23:13,23:01,23:17,
Malad,22:53,NON AC,,23:00,23:03,23:07,,22:57,,,23:17,23:05,23:21,
Kandivli,22:56,,,23:03,23:06,23:10,,23:00,,,23:20,23:08,23:24,
BORIVALI,23:02,22:45,22:49,23:09,23:12,23:16,,23:06,23:03,23:19,23:26,23:14,23:30,23:16
Dahisar,23:06,22:50,22:54,23:13,,,,,23:07,23:24,,NOT ON,23:34,23:20
Mira Road,23:11,22:55,22:59,23:18,,,,,23:12,23:29,,SUN,23:39,23:25
Bhayandar,23:16,23:00,23:04,23:23,,,,,23:17,23:34,,ONLY,23:45,23:30
Naigaon,23:22,23:06,23:10,23:29,,,,,23:23,23:40,,,,23:36
Vasai Road,23:27,23:11,23:15,23:34,,,,,23:29,23:45,,,NOT ON,23:41
Nalla Sopara,23:33,23:16,23:20,23:39,,,,,23:34,23:50,,,SUN,23:46
VIRAR,,23:22,23:26,23:46,,,,,23:41,23:56,,,ONLY,23:52
STATIONS DN TRAINS,NSP 90985 12 CAR,BVI 90987 12 CAR,BVI 90989 12 CAR,BYR 90991 12 CAR,BVI 90993 12 CAR,VR 90995 12 CAR,BA 90997 12 CAR,BVI 90999 12 CAR,VR 92199 12 CAR,BVI 91001 12 CAR,BA 91003 12 CAR,VR 91005 12 CAR,BYR 91007 12 CAR,BYR 91009 12 CAR
CHURCHGATE,,22:33,22:33,22:36,22:39,22:42,22:45,22:49,,22:53,23:00,23:05,23:09,23:12
Marine Lines,,22:36,22:36,22:39,22:42,22:45,22:48,22:52,,22:56,23:03,23:08,23:12,23:15
Charni Road,,22:38,22:38,22:41,22:44,22:47,22:50,22:54,,22:58,23:05,23:10,23:14,23:17
Grant Road,,22:41,22:41,22:44,22:47,22:50,22:53,22:57,,23:01,23:08,23:13,23:17,23:20
M'BAI CENTRAL (L),,22:43,22:43,22:46,22:49,22:52,22:55,22:59,,23:03,23:10,23:15,23:19,23:22
Mahalakshmi,,22:46,,22:49,22:52,,22:58,23:02,,23:06,23:13,,23:22,
Lower Parel,,22:49,,22:52,22:55,,23:01,23:05,,23:09,23:16,,23:25,
Prabhadevi,,22:52,,22:55,22:58,,23:04,23:08,,23:12,23:19,,23:28,
DADAR,,22:54,22:50,22:57,23:00,22:59,23:06,23:10,,23:15,23:21,23:23,23:30,23:29
Matunga Road,,22:56,,22:59,23:02,,23:08,23:12,,23:17,23:23,,23:32,
Mahim Jn.,,22:59,,23:02,23:05,,23:11,23:15,,23:20,23:26,,23:35,
BANDRA,,23:03,22:55,23:06,23:09,23:04,23:15,23:19,,23:25,23:30,23:28,23:39,23:34
Khar Road,,23:06,,23:09,23:12,,,23:23,,23:28,,,23:42,
Santa Cruz,,23:08,,23:11,23:14,,,23:25,,23:31,,,23:44,
Vile Parle,,23:11,,23:14,23:17,,,23:28,,23:34,,,23:47,
ANDHERI,23:12,23:16,23:04,23:19,23:22,23:13,,23:34,23:37,23:40,,23:37,23:52,23:43
Jogeshwari,23:16,23:19,23:07,23:22,23:25,,,23:37,23:40,23:43,,,23:55,23:47
Ram Mandir,23:19,23:22,--,23:25,23:28,,,23:40,23:43,23:46,,,23:58,--
Goregaon,23:21,23:24,23:12,23:27,23:30,,,23:42,23:45,23:48,,,00:00,23:52
Malad,23:25,23:28,23:16,23:31,23:34,,,23:46,23:49,23:52,,,00:04,23:56
Kandivli,23:28,23:31,23:19,23:34,23:37,,,23:49,23:52,23:55,,,00:07,23:59
BORIVALI,23:34,23:37,23:25,23:40,23:44,23:26,,23:56,23:58,00:02,,23:52,00:13,00:05
Dahisar,23:38,,,23:44,,23:30,,,00:02,,,23:56,00:17,00:09
Mira Road,23:43,,,23:49,,23:35,,,00:07,,,00:01,00:22,00:14
Bhayandar,23:48,,,23:55,,23:40,,,00:12,,,00:06,00:28,00:20
Naigaon,23:54,,,,,23:46,,,00:18,,,00:12,,
Vasai Road,23:59,,,,,23:51,,,00:23,,,00:17,,
Nalla Sopara,00:05,,,,,23:56,,,00:28,,,00:22,,
VIRAR,,,,,,00:02,,,00:35,,,00:29,,
STATIONS DN TRAINS,BVI 91011 12 CAR,BYR 94079 12 CAR,BYR 91015 12 CAR,VR 91017 12 CAR,BYR 91019 12 CAR,BA 91021 12 CAR,BYR 91023 12 CAR,VR 91025 12 CAR,NSP# 91027 12 CAR,GMN 91029 12 CAR,BVI 91031 12 CAR,VR 91033 12 CAR,BYR 91035 12 CAR,BYR 91037 12 CAR
CHURCHGATE,23:15,,23:21,23:23,23:27,23:31,23:38,23:40,23:46,23:49,23:52,23:58,,00:09
Marine Lines,23:18,,23:24,23:26,23:30,23:34,23:41,23:43,23:49,23:52,23:55,00:01,,00:12
Charni Road,23:20,,23:26,23:28,23:32,23:36,23:43,23:45,23:51,23:54,23:57,00:03,,00:14
Grant Road,23:23,,23:29,23:31,23:35,23:39,23:46,23:48,23:54,23:57,00:00,00:06,,00:17
M'BAI CENTRAL (L),23:25,,23:31,23:33,23:37,23:41,23:48,23:50,23:56,23:59,00:02,00:08,,00:19
Mahalakshmi,23:28,,23:34,,23:40,23:44,23:51,,23:59,00:02,00:05,00:11,,00:22
Lower Parel,23:31,Air,23:37,,23:43,23:47,23:54,,00:02,00:05,00:08,00:14,,00:25
Prabhadevi,23:34,Condition,23:40,,23:46,23:50,23:57,,00:05,00:08,00:11,00:17,,00:28
DADAR,23:36,,23:42,23:40,23:48,23:52,23:59,23:57,00:07,00:10,00:13,00:19,,00:30
Matunga Road,23:39,,23:44,,23:50,23:54,00:01,,00:09,00:12,00:15,00:21,,00:32
Mahim Jn.,23:42,,23:47,,23:53,23:57,00:04,,00:12,00:15,00:18,00:24,,00:35
BANDRA,23:46,,23:51,23:46,23:57,00:02,00:08,00:02,00:16,00:19,00:22,00:28,,00:40
Khar Road,23:49,,23:54,,00:01,,00:11,,00:19,00:22,00:26,00:31,,00:43
Santa Cruz,23:51,,23:56,,00:04,,00:14,,00:21,00:24,00:28,00:33,,00:45
Vile Parle,23:54,,23:59,,00:07,,00:17,,00:24,00:27,00:31,00:36,,00:48
ANDHERI,23:59,23:55,00:05,23:56,00:14,,00:22,00:11,00:30,00:33,00:37,00:42,00:46,00:53
Jogeshwari,00:02,,00:08,00:00,00:17,,00:25,00:14,00:33,00:36,00:40,00:45,00:49,00:56
Ram Mandir,00:05,,00:11,--,00:20,,00:28,--,00:36,00:39,00:43,00:48,00:52,00:59
Goregaon,00:07,,00:13,00:05,00:23,,00:30,00:19,00:38,00:45,00:45,00:50,00:54,01:01
Malad,00:11,,00:17,00:09,00:27,,00:34,00:23,00:42,,00:49,00:54,00:58,01:05
Kandivli,00:14,,00:20,00:12,00:30,,00:37,00:26,00:45,,00:52,00:57,01:01,01:08
BORIVALI,00:21,00:10,00:25,00:18,00:35,,00:43,00:31,00:51,,00:59,01:03,01:07,01:14
Dahisar,,00:13,00:28,00:21,00:39,,00:47,00:35,00:55,,,01:07,01:11,01:18
Mira Road,,00:18,00:33,00:26,00:44,,00:52,00:40,01:00,,,01:12,01:16,01:23
Bhayandar,,00:25,00:40,00:31,00:50,,01:00,00:45,01:05,,,01:17,01:23,01:29
Naigaon,,,,00:37,,,,00:51,01:11,,,01:23,,
Vasai Road,,,,00:42,,,,00:56,01:16,,,01:28,,
Nalla Sopara,,,,00:47,,,,01:01,01:20,,,01:33,,
VIRAR,,,,00:53,,,,01:08,NOS,,,01:40,,
# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY,# NOT ON SUNDAY
