,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
303,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
304,Stations,99011 TPL 11 $,98817 B 17,98059 PLVD 9 X,98315 BR 11,98061 PL 51,98905 PLGN 5,98819 B 19,98063 PL 53
305,,,,,,,,,
306,Mumbai CSMT,TNA,08:16,,08:20,08:24,,08:29,08:33
307,Masjid,08:41,08:19,,08:23,08:27,,08:32,08:36
308,Sandhurst Road,,08:22,,08:26,08:30,,08:35,08:39
309,Dockyard Road,,08:24,,08:28,08:32,,08:37,08:41
310,Reay Road,,08:26,,08:30,08:34,,08:39,08:43
311,Cotton Green,,08:28,,08:32,08:36,,08:41,08:45
312,Sewri,,08:31,,08:35,08:39,,08:44,08:48
313,Vadala Road,,08:34,08:34,08:38,08:42,08:45,08:48,08:52
314,King's Circle,,08:38,,,,08:50,08:53,
315,Mahim Jn,,08:41,,,,08:53,08:56,
316,Bandra,,08:45,,,,08:57,09:00,
317,Khar Road,,,,,,09:01,,
318,Santacruz,,,,,,09:04,,
319,Vileparle,,,,,,09:07,,
320,Andheri,,,,,,09:11,,
321,Jogeshwari,,,,,,09:15,,
322,Ramnagar,,,,,,09:18,,
323,Goregaon,,,,,,09:22,,
324,GTB Nagar,,,08:39,08:43,08:47,,,08:57
325,Chunabhatti,,,08:42,08:46,08:50,,,09:00
326,Kurla,,,08:45,08:49,08:53,,,09:03
327,Tilaknagar,,,08:48,08:52,08:56,,,09:06
328,Chembur,,,08:50,08:54,08:58,,,09:08
329,Govandi,,,08:53,08:57,09:01,,,09:11
330,Mankhurd,,,08:56,09:00,09:04,,,09:14
331,Vashi,,,09:05,09:09,09:13,,,09:23
332,Sanpada,,,09:07,09:11,09:15,,,09:25
333,Juinagar,,,09:10,09:14,09:18,,,09:28
334,Nerul,09:10,,09:14,09:18,09:22,,,09:32
335,Seawood Darave,09:14,,09:18,09:22,09:26,,,09:35
336,Belapur CBD,09:18,,09:22,09:26,09:30,,,09:39
337,Kharghar,09:22,,09:26,,09:34,,,09:43
338,Mansarovar,09:25,,09:29,,09:37,,,09:46
339,Khandeshwar,09:28,,09:32,,09:40,,,09:49
340,Panvel,09:33,,09:37,,09:45,,,09:54
