,STATIONS UP TRAINS,Virar 92012 15 CAR,Borivali 94104 12 CAR,Borivali 94106 12 CAR,Borivali 94106 12 CAR.1,Virar 94108 12 CAR,Virar 94108 12 CAR.1,Andheri 94110 12 CAR,Goregoan 94112 12 CAR,Goregoan 94112 12 CAR.1,Virar 92014 15 CAR,Virar 92014 15 CAR.1,Borivali 94114 12 CAR,Borivali 94114 12 CAR.1,Virar 90098 12 CAR,Virar 90098 12 CAR.1,Borivali 90100 12 CAR,Borivali 90100 12 CAR.1,Borivali 90100 12 CAR.2,Vasai Road 90102 12 CAR,Vasai Road 90102 12 CAR.1,Vasai Road 90102 12 CAR.2,Dahanu Road 93002 12 CAR,Dahanu Road 93002 12 CAR.1,Dahanu Road 93002 12 CAR.2,Borivali 90104 12 CAR,Borivali 90104 12 CAR.1,Borivali 90104 12 CAR.2,Virar 94006 12 CAR,Virar 94006 12 CAR.1,Virar 94006 12 CAR.2
59,STATIONS UP TRAINS,GMN 90132 12 CAR,BVI 94010 12 CAR,BVI 94010 12 CAR,VR 92020 15 CAR,VR 92020 15 CAR,GMN 90138 12 CAR,BVI 90140 12 CAR,BVI 90140 12 CAR,NSP 92022 15 CAR,NSP 92022 15 CAR,BVI 90142 12 CAR,BVI 90142 12 CAR,BVI 90144 12 CAR,BVI 90144 12 CAR,VR 92024 15 CAR,VR 92024 15 CAR,BSR 90146 12 CAR,BSR 90146 12 CAR,BSR 90146 12 CAR,BVI 90148 12 CAR,BVI 90148 12 CAR,BVI 90148 12 CAR,VR 90150 12 CAR,VR 90150 12 CAR,VR 90150 12 CAR,VR 90152 12 CAR,VR 90152 12 CAR,VR 90152 12 CAR,BVI 90154 12 CAR,BVI 90154 12 CAR
60,VIRAR,,ON SAT,ON SAT,06:21,06:21,,,,,,,,,,06:30,06:30,,,,,,,06:38,06:38,06:38,06:44,06:44,06:44,,
61,Nalla Sopara,,& SUN,& SUN,06:27,06:27,,,,06:33,06:33,,,,,06:36,06:36,,,,,,,06:44,06:44,06:44,06:50,06:50,06:50,,
62,VASAI ROAD,,NON AC,NON AC,06:32,06:32,,,,06:39,06:39,,,,,06:41,06:41,06:43,06:43,06:43,,,,06:49,06:49,06:49,06:55,06:55,06:55,,
63,Naigaon,,,,06:36,06:36,,,,06:43,06:43,,,,,06:46,06:46,06:49,06:49,06:49,,,,06:54,06:54,06:54,07:00,07:00,07:00,,
64,BHAYANDAR,,,,06:42,06:42,,,,06:49,06:49,,,,,06:52,06:52,06:55,06:55,06:55,,,,07:00,07:00,07:00,07:06,07:06,07:06,,
65,Mira Road,,,,06:47,06:47,,,,06:54,06:54,,,,,06:58,06:58,07:01,07:01,07:01,,,,07:05,07:05,07:05,07:11,07:11,07:11,,
66,Dahisar,,,,06:51,06:51,,,,06:58,06:58,,,,,07:02,07:02,07:05,07:05,07:05,,,,07:09,07:09,07:09,07:15,07:15,07:15,,
67,BORIVALI,,06:55,06:55,06:57,06:57,,07:00,07:00,07:03,07:03,07:06,07:06,07:09,07:09,07:07,07:07,07:10,07:10,07:10,07:13,07:13,07:13,07:15,07:15,07:15,07:19,07:19,07:19,07:21,07:21
68,Kandivali,,07:02,07:02,,,,07:05,07:05,07:08,07:08,07:12,07:12,07:15,07:15,,,,,,07:19,07:19,07:19,,,,07:23,07:23,07:23,07:27,07:27
69,Malad,,07:05,07:05,,,,07:08,07:08,07:11,07:11,07:15,07:15,07:18,07:18,,,,,,07:22,07:22,07:22,,,,07:26,07:26,07:26,07:30,07:30
70,Goregaon,07:05,07:09,07:09,,,07:05,07:12,07:12,07:15,07:15,07:18,07:18,07:21,07:21,,,,,,07:25,07:25,07:25,,,,07:29,07:29,07:29,07:33,07:33
71,Ram Mandir,07:08,--,--,,,07:08,07:14,07:14,07:17,07:17,07:20,07:20,07:23,07:23,,,,,,--,--,--,,,,07:31,07:31,07:31,07:35,07:35
72,Jogeshwari,07:11,07:14,07:14,,,07:11,07:17,07:17,07:20,07:20,07:23,07:23,07:26,07:26,,,,,,07:29,07:29,07:29,,,,07:34,07:34,07:34,07:38,07:38
73,ANDHERI,07:15,07:18,07:18,,,07:15,07:22,07:22,07:26,07:26,07:28,07:28,07:31,07:31,07:20,07:20,07:23,07:23,07:23,07:34,07:34,07:34,07:29,07:29,07:29,07:39,07:39,07:39,07:42,07:42
74,Vile Parle,07:18,Air,Air,,,07:19,07:25,07:25,,,07:31,07:31,07:34,07:34,,,,,,,,,,,,07:42,07:42,07:42,07:45,07:45
75,Santa Cruz,07:21,Condition,Condition,,,07:22,07:28,07:28,,,07:34,07:34,07:37,07:37,,,,,,,,,,,,07:45,07:45,07:45,07:48,07:48
76,Khar Road,07:24,,,,,07:27,07:31,07:31,,,07:37,07:37,07:40,07:40,,,,,,,,,,,,07:48,07:48,07:48,07:51,07:51
77,BANDRA,07:28,07:27,07:27,,,07:32,07:35,07:35,,,07:42,07:42,07:45,07:45,07:30,07:30,07:33,07:33,07:33,07:43,07:43,07:43,07:38,07:38,07:38,07:52,07:52,07:52,07:56,07:56
78,Mahim Jn.,07:31,,,,,07:35,07:38,07:38,,,07:45,07:45,07:48,07:48,,,,,,,,,,,,07:55,07:55,07:55,07:59,07:59
