Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
Kalyan,,20:50,21:21,20:55,21:26,,21:04,,,21:33,21:16,21:19,,21:27
Thakurli,,20:57,,21:02,,,21:10,,,,21:21,21:25,,21:34
Dombivli,,21:00,21:29,21:05,21:34,21:08,21:13,,,21:40,21:24,21:28,,21:37
Kopar,,21:04,…,21:08,…,21:12,21:16,,,…,21:27,21:31,,21:40
Diva,,21:09,…,21:13,…,21:17,21:21,,,…,21:32,21:36,,21:45
Mumbra,,21:13,…,21:18,…,21:21,21:25,,,…,21:36,21:40,,21:49
Kalva,,21:19,…,21:24,…,21:27,21:31,,,…,21:42,21:46,,21:55
Thane,21:21,21:24,21:44,21:29,21:50,21:33,21:36,21:41,,21:55,21:47,21:51,,22:00
Mulund,21:27,,...,21:34,21:54,21:38,21:41,21:47,,21:59,21:52,21:56,,22:05
Nahur,21:30,,...,21:37,...,21:41,21:44,21:50,,...,21:55,21:59,,22:08
Bhandup,21:33,,...,21:40,...,21:44,21:47,21:53,,...,21:58,22:02,,22:11
Kanjur Marg,21:36,,...,21:43,...,21:47,21:50,21:56,,...,22:01,22:05,,22:14
Vikhroli,21:39,,...,21:46,...,21:50,21:53,21:59,,...,22:04,22:08,,22:17
Ghatkopar,21:43,,21:59,21:50,22:06,21:54,21:57,22:03,,22:09,22:08,22:12,,22:21
Vidyavihar,21:46,,...,21:53,...,21:57,22:00,22:06,,...,22:11,22:15,,22:24
Kurla,21:49,,22:03,21:56,22:10,22:00,22:03,22:09,,22:13,22:14,22:18,22:22,22:27
Sion,21:53,,...,22:00,...,22:04,CLA,22:13,,...,22:18,22:22,22:26,22:31
Matunga,21:56,,...,22:03,...,22:07,,22:16,,...,22:21,22:25,22:29,22:34
Dadar,22:00,,22:11,22:07,22:18,22:11,,22:20,,22:22,22:25,22:29,22:33,22:38
Parel,22:03,,…,22:10,…,22:14,,,,…,22:28,22:32,22:36,22:41
Currey Road,22:06,,…,22:13,…,22:17,,,,…,22:31,PR,22:39,22:44
Chinchpokli,22:08,,…,22:16,…,22:19,,,,…,22:33,,22:41,22:46
Byculla,22:10,,22:19,22:18,22:24,22:22,,,,22:28,22:35,,22:43,22:48
Sandhurst Road,22:13,,…,22:21,…,22:25,,,,…,22:38,,22:46,22:51
Masjid,22:16,,…,22:24,…,22:28,,,,…,22:41,,22:49,22:54
CSMT,22:20,TNA,22:28,22:28,22:35,22:32,,,,22:38,22:44,,22:53,22:57
Kasara,95244,95144,97158,96656,97442,96328,97260,95246,97160,97162,95430,97262,96330,96658
Khardi,BL 66,S 50,K 130 AC X,TL 66,PT 8,A 68,DL 56,BL 68,K 132,K 134,N 34,DL 58 X,A 70,TL 68
Atgaon,,,,,,,,,,,21:21,,,
Asangaon,,,,,,,,,,,21:38,,,
Vasind,,,,,,,,,,,21:48,,,
Khadavli,,,,,,,,,,,21:57,,,
Titwala,,,,,,,,,,,22:03,,,
Ambivli,,,,,,,,,,,22:10,,,
Shahad,,,,21:24,,,,,,,22:17,,,22:06
Khopoli,,,,21:32,,,,,,,22:23,,,22:14
Lowjee,,,,21:35,,,,,,,22:26,,,22:17
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,
Neral,,21:10,,,,,,,,,,,,
Shelu,,21:19,,,,,,,,,,,,
Vangani,,21:26,,,,,,,,,,,,
Badlapur,,21:30,,,,,,,,,,,,
Ambernath,,21:34,,,,,,,,,,,,
Ulhas Nagar,21:37,21:42,,,,,,21:58,,,,,,
Vithalwadi,21:45,21:49,,,,21:35,,22:05,,,,,22:01,
Kalyan,21:49,21:53,,,,21:40,,22:10,,,,,22:06,
Thakurli,21:52,21:56,,,,21:43,,22:13,,,,,22:09,
Dombivli,21:57,22:02,21:36,21:40,,21:48,,22:18,21:59,22:06,22:33,,22:14,22:22
Kopar,…,…,21:42,21:46,,21:54,,…,22:06,22:12,…,,22:20,22:28
Diva,22:03,22:08,21:45,21:49,,21:57,22:00,22:26,22:10,22:15,22:41,22:18,22:23,22:31
Mumbra,…,…,21:48,21:52,,22:00,22:04,…,22:13,22:18,…,22:22,22:26,22:34
Kalva,…,…,21:53,21:57,,22:05,22:09,…,22:18,22:23,…,22:27,22:31,22:39
Thane,…,…,21:57,22:01,,22:09,22:13,…,22:22,22:27,…,22:31,22:35,22:43
Mulund,…,…,22:03,22:07,,22:15,22:19,…,22:28,22:33,…,22:37,22:41,22:49
Nahur,22:19,22:24,22:08,22:12,22:15,22:20,22:24,22:43,22:33,22:38,22:58,22:42,22:46,22:54
Bhandup,22:23,22:28,22:13,22:17,22:21,22:24,22:29,22:47,22:37,22:43,23:02,22:47,22:51,22:59
Kanjur Marg,...,...,22:16,22:20,22:24,22:27,22:32,...,22:40,22:46,...,22:50,22:54,23:02
Vikhroli,...,...,22:19,22:23,22:27,22:30,22:35,...,22:43,22:49,...,22:53,22:57,23:05
Ghatkopar,...,...,22:22,22:26,22:30,22:33,22:38,...,22:46,22:52,...,22:56,23:00,23:08
Vidyavihar,...,...,22:25,22:29,22:33,22:36,22:41,...,22:49,22:55,...,22:59,23:03,23:11
Kurla,22:32,22:37,22:29,22:33,22:37,22:40,22:45,22:57,22:53,22:59,23:12,23:03,23:07,23:15
Sion,...,...,22:32,22:36,22:40,22:43,22:48,...,22:56,23:02,...,23:06,23:10,23:18
Matunga,22:36,22:41,22:35,22:39,22:43,22:46,22:51,23:01,22:59,23:05,23:16,23:09,23:13,23:21
Dadar,...,...,22:39,22:43,22:47,22:50,22:55,...,23:03,23:09,...,23:13,23:17,23:25
Parel,...,...,22:42,22:46,22:50,22:53,22:58,...,23:06,23:12,...,23:16,23:20,23:28
Currey Road,22:44,22:49,22:46,22:50,22:54,22:57,23:02,23:09,23:10,23:16,23:24,23:20,23:24,23:32
Chinchpokli,…,…,22:49,22:53,22:57,23:00,23:05,…,23:13,23:19,…,23:23,23:27,23:35
Byculla,…,…,22:52,22:56,PR,23:03,23:08,…,23:16,23:22,…,23:26,23:30,23:38
Sandhurst Road,…,…,22:54,22:58,,23:05,23:10,…,23:18,23:24,…,23:28,23:32,23:40
Masjid,22:52,22:55,22:56,23:00,,23:08,23:12,23:17,23:20,23:27,23:30,23:31,23:35,23:43
CSMT,…,…,22:59,23:03,,23:11,23:15,…,23:23,23:30,…,23:34,23:38,23:46
Kasara,…,…,23:02,23:06,,23:14,23:18,…,23:26,23:33,…,23:37,23:41,23:49
Khardi,23:01,23:04,23:05,23:09,,23:18,23:22,23:27,23:30,23:36,23:38,23:40,23:44,23:53
Train No,95146,97164,96332,96018,96110,97264,96660,95748,96520,97166,96226,97168,96406,96228
Train Code,S 54,K 136 X,A 72,SKP 18,S 52,PDL 6 X,TTL 4,K 140 15 C X,AN 32,K 138 AC,PBL 2,DK 16 AC X,N 36,TBL 4
Kasara,,,,,,,,,,,,,22:00,
Khardi,,,,,,,,,,,,,22:17,
Atgaon,,,,,,,,,,,,,22:27,
Asangaon,,,,,,,,,22:10,,,,22:36,
Vasind,,,,,,,,,22:18,,,,22:42,
Khadavli,,,,,,,,,22:25,,,,22:49,
Titwala,,,,,,,22:25,,22:33,,,,22:57,
Ambivli,,,,,,,22:33,,22:41,,,,23:05,
Shahad,,,,,,,22:36,,22:44,,,,23:08,
Khopoli,,,,21:09,,,,,,,,,,
Lowjee,,,,21:13,,,,,,,,,,
Dolavli,,,,21:17,,,,,,,,,,
Kelavli,,,,21:20,,,,,,,,,,
Palasdhari,,,,21:27,,,,,,,,,,
Karjat,22:03,,,21:34,21:43,,,,,,,,,
Bhivpuri Road,22:12,,,,21:52,,,,,,,,,
Neral,22:19,,,,21:59,,,,,,,,,
Shelu,22:23,,,,22:03,,,,,,,,,
Vangani,22:27,,,,22:07,,,,,,,,,
Badlapur,22:35,,,,22:15,,,,,,22:40,,,23:04
Ambernath,22:42,,22:15,,22:22,,,,,,22:48,,,23:13
Ulhas Nagar,22:46,,22:20,,22:26,,,,,,22:52,,,23:17
Vithalwadi,22:49,,22:23,,22:29,,,,,,22:55,,,23:20
Kalyan,22:54,22:26,22:29,,22:34,,22:42,23:05,22:52,22:56,23:00,23:11,23:15,23:26
Thakurli,…,22:32,22:36,,22:41,,22:50,…,22:57,23:01,23:06,23:17,23:22,23:33
Dombivli,23:00,22:35,22:39,,22:44,22:48,22:53,23:12,23:00,23:04,23:09,23:20,23:25,23:36
Kopar,…,22:39,22:43,,22:47,22:52,22:56,…,23:03,23:08,23:12,23:24,23:28,23:39
Diva,23:05,22:44,22:48,,22:52,22:57,23:01,…,23:08,23:13,23:17,23:28,23:33,23:44
Mumbra,…,22:48,22:52,,22:56,23:01,23:05,…,23:12,23:17,23:21,23:32,23:37,23:48
Kalva,…,22:54,22:58,,23:02,23:07,23:11,…,23:18,23:23,23:27,23:38,23:43,23:54
Thane,23:15,22:59,23:03,,23:07,23:12,23:16,23:28,23:23,23:28,23:32,23:43,23:49,23:59
Mulund,…,23:04,23:08,,23:12,23:16,,23:32,23:27,23:33,23:36,23:47,23:53,
Nahur,...,23:07,23:11,,23:15,23:19,,...,23:30,23:36,23:39,23:50,23:56,
Bhandup,...,23:10,23:14,,23:18,23:22,,...,23:33,23:39,23:42,23:53,23:59,
Kanjur Marg,...,23:13,23:17,,23:21,23:25,,...,23:36,23:42,23:45,23:56,00:02,
Vikhroli,...,23:16,23:20,,23:24,23:28,,...,23:39,23:45,23:48,23:59,00:05,
Ghatkopar,23:27,23:20,23:25,,23:29,23:32,,23:42,23:44,23:49,23:53,00:04,00:10,
Vidyavihar,...,23:23,23:28,,23:32,23:35,,...,23:47,23:52,23:56,00:07,00:13,
Kurla,23:31,23:26,23:31,,23:35,23:38,,23:46,23:50,23:55,23:59,00:10,00:16,
Sion,...,23:30,23:35,,23:39,23:42,,...,23:54,23:59,00:03,00:14,00:20,
Matunga,...,23:33,23:39,,23:43,23:46,,...,23:58,00:02,00:07,00:18,00:24,
Dadar,23:41,23:37,23:42,,23:46,23:49,,23:54,00:01,00:06,00:10,00:21,00:27,
Parel,…,23:40,23:45,,23:49,23:52,,…,00:04,00:09,00:13,,00:29,
Currey Road,…,23:43,23:48,,23:52,PR,,…,00:07,00:12,PR,,00:32,
Chinchpokli,…,23:45,23:50,,23:54,,,…,00:09,00:14,,,00:34,
Byculla,23:48,23:48,23:52,,23:56,,,00:00,00:11,00:17,,,00:36,
Sandhurst Road,…,23:51,23:55,,23:59,,,…,00:14,00:20,,,00:39,
Masjid,…,23:54,23:58,,00:02,,,…,00:17,00:23,,,00:42,
CSMT,23:58,23:58,00:02,,00:06,,TNA,00:08,00:20,00:27,,,00:45,
Train No Train Code,96662 TTL 6,96020 KP 14,96522 TAN 6,97170 TK 26,96230 BL 70,96022 SKP 20,,,,,,,,
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,23:08,,,,,,,,,,,
Vasind,,,23:15,,,,,,,,,,,
Khadavli,,,23:22,,,,,,,,,,,
Titwala,23:14,,23:29,,,,,,,,,,,
Ambivli,23:22,,23:35,,,,,,,,,,,
Shahad,23:25,,23:38,,,,,,,,,,,
Khopoli,,22:15,,,,23:20,,,,,,,,
Lowjee,,22:19,,,,23:24,,,,,,,,
Dolavli,,22:23,,,,23:28,,,,,,,,
Kelavli,,22:26,,,,23:31,,,,,,,,
Palasdhari,,22:33,,,,23:38,,,,,,,,
Karjat,,22:41,,,,23:45,,,,,,,,
Bhivpuri Road,,22:50,,,,,,,,,,,,
Neral,,22:57,,,,,,,,,,,,
Shelu,,23:01,,,,,,,,,,,,
Vangani,,23:05,,,,,,,,,,,,
Badlapur,,23:14,,,23:29,,,,,,,,,
Ambernath,,23:21,,,23:37,,,,,,,,,
Ulhas Nagar,,23:25,,,23:41,,,,,,,,,
Vithalwadi,,23:28,,,23:44,,,,,,,,,
Kalyan,23:30,23:36,23:43,23:47,23:52,,,,,,,,,
Thakurli,23:36,23:42,23:50,23:54,23:58,,,,,,,,,
Dombivli,23:39,23:45,23:53,23:57,00:01,,,,,,,,,
Kopar,23:42,23:48,23:56,00:00,00:04,,,,,,,,,
Diva,23:47,23:53,00:01,00:05,00:09,,,,,,,,,
Mumbra,23:51,23:57,00:05,00:09,00:13,,,,,,,,,
Kalva,23:57,00:03,00:11,00:15,00:19,,,,,,,,,
Thane,00:03,00:09,00:16,00:20,00:24,,,,,,,,,
Mulund,,00:13,,,00:28,,,,,,,,,
Nahur,,00:16,,,00:31,,,,,,,,,
Bhandup,,00:19,,,00:34,,,,,,,,,
Kanjur Marg,,00:22,,,00:37,,,,,,,,,
Vikhroli,,00:25,,,00:40,,,,,,,,,
Ghatkopar,,00:29,,,00:45,,,,,,,,,
Vidyavihar,,00:32,,,00:48,,,,,,,,,
Kurla,,00:35,,,00:51,,,,,,,,,
Sion,,00:39,,,00:55,,,,,,,,,
Matunga,,00:42,,,00:59,,,,,,,,,
Dadar,,00:46,,,01:02,,,,,,,,,
Parel,,00:49,,,01:04,,,,,,,,,
Currey Road,,00:52,,,01:07,,,,,,,,,
Chinchpokli,,00:54,,,01:09,,,,,,,,,
Byculla,,00:56,,,01:11,,,,,,,,,
Sandhurst Road,,00:59,,,01:14,,,,,,,,,
Masjid,,01:02,,,01:17,,,,,,,,,
CSMT,,01:05,TNA,TNA,01:20,,,,,,,,,
