STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
Mahim Jn.,07:14,,,07:17,07:17,,,07:21,07:21,,,,,,,,,07:27,07:27,,,07:32,07:32,,,,07:35,07:35,07:35,07:38,07:38,07:38,07:38
BANDRA,07:18,07:10,07:10,07:21,07:21,,,07:25,07:25,07:20,07:20,07:20,,,,,,07:31,07:31,07:25,07:25,07:36,07:36,07:30,07:30,07:30,07:39,07:39,07:39,07:42,07:42,07:42,07:42
Khar Road,07:21,,,07:24,07:24,,,07:28,07:28,,,,,,,,,07:34,07:34,,,07:39,07:39,,,,07:42,07:42,07:42,07:45,07:45,07:45,07:45
Santa Cruz,07:23,,,07:26,07:26,,,07:30,07:30,,,,,,,,,07:36,07:36,,,07:41,07:41,,,,07:44,07:44,07:44,07:47,07:47,07:47,07:47
Vile Parle,07:26,,,07:29,07:29,,,07:33,07:33,,,,,,,,,07:39,07:39,,,07:44,07:44,,,,07:47,07:47,07:47,07:50,07:50,07:50,07:50
ANDHERI,07:32,07:19,07:19,07:34,07:34,,,07:39,07:39,07:28,07:28,07:28,,,,07:41,07:41,07:45,07:45,07:33,07:33,07:49,07:49,07:38,07:38,07:38,07:52,07:52,07:52,07:53,07:53,07:53,07:53
Jogeshwari,07:35,,,07:37,07:37,,,07:42,07:42,,,,,,,07:45,07:45,07:49,07:49,,,07:53,07:53,,,,07:56,07:56,07:56,07:57,07:57,07:57,07:57
Ram Mandir,07:38,,,07:40,07:40,,,07:45,07:45,,,,,,,07:48,07:48,07:52,07:52,,,07:56,07:56,,,,07:59,07:59,07:59,08:00,08:00,08:00,08:00
Goregaon,07:40,,,07:44,07:44,,,07:47,07:47,,,,,,,07:50,07:50,07:54,07:54,,,07:58,07:58,,,,08:01,08:01,08:01,08:04,08:04,08:04,08:04
Malad,07:44,,,,,,,07:51,07:51,,,,,,,07:54,07:54,07:58,07:58,,,08:02,08:02,,,,08:05,08:05,08:05,,,,
Kandivli,07:47,,,,,,,07:54,07:54,,,,,,,07:57,07:57,08:01,08:01,,,08:05,08:05,,,,08:08,08:08,08:08,,,,
BORIVALI,07:54,07:33,07:33,,,07:37,07:37,08:00,08:00,07:40,07:40,07:40,07:42,07:42,07:42,08:03,08:03,08:07,08:07,07:45,07:45,08:11,08:11,07:51,07:51,07:51,08:14,08:14,08:14,,,,
Dahisar,NOT ON,07:37,07:37,,,,,,,07:44,07:44,07:44,07:47,07:47,07:47,08:07,08:07,08:12,08:12,07:49,07:49,,,07:55,07:55,07:55,,,,,,,
Mira Road,SUN,07:42,07:42,,,,,,,07:49,07:49,07:49,07:51,07:51,07:51,08:12,08:12,08:17,08:17,07:54,07:54,,,08:00,08:00,08:00,,,,,,,
Bhayandar,ONLY,07:47,07:47,,,,,,,07:54,07:54,07:54,07:56,07:56,07:56,08:17,08:17,08:22,08:22,07:59,07:59,,,08:05,08:05,08:05,,,,,,,
Naigaon,,07:53,07:53,,,,,,,08:00,08:00,08:00,08:02,08:02,08:02,08:23,08:23,08:28,08:28,08:05,08:05,,,08:11,08:11,08:11,,,,,,,
Vasai Road,,07:58,07:58,,,08:04,08:04,,,08:05,08:05,08:05,08:07,08:07,08:07,08:28,08:28,08:33,08:33,08:10,08:10,,,08:16,08:16,08:16,,,,,,,
Nalla Sopara,,08:04,08:04,,,,,,,08:10,08:10,08:10,08:12,08:12,08:12,08:33,08:33,08:38,08:38,08:16,08:16,,,08:21,08:21,08:21,,,,,,,
VIRAR,,08:12,08:12,,,,,,,08:18,08:18,08:18,08:19,08:19,08:19,08:39,08:39,08:45,08:45,08:23,08:23,,,08:28,08:28,08:28,,,,,,,
STATIONS DN TRAINS,BSR 90133 12 CAR,DRD 93007 12 CAR,DRD 93007 12 CAR,ADH 90135 12 CAR,ADH 90135 12 CAR,VR 92035 12 CAR,VR 92035 12 CAR,BVI 94011 12 CAR,BVI 94011 12 CAR,BVI 94011 12 CAR,BVI 94011 12 CAR,BVI 90139 12 CAR,BVI 90139 12 CAR,BVI 90139 12 CAR,BVI 90141 12 CAR,BVI 90141 12 CAR,GMN 90143 12 CAR,GMN 90143 12 CAR,BVI 90145 12 CAR,BVI 90145 12 CAR,VR 90147 12 CAR,VR 90147 12 CAR,GMN 90149 12 CAR,GMN 90149 12 CAR,GMN 90149 12 CAR,BVI 90151 12 CAR,BVI 90151 12 CAR,BVI 90151 12 CAR,VR 90153 12 CAR,VR 90153 12 CAR,VR 90153 12 CAR,BSR 92037 12 CAR,BSR 92037 12 CAR
CHURCHGATE,07:11,,,07:15,07:15,,,07:18,07:18,07:18,07:18,07:21,07:21,07:21,,,07:22,07:22,,,07:26,07:26,07:27,07:27,07:27,07:30,07:30,07:30,07:32,07:32,07:32,,
Marine Lines,07:14,,,07:18,07:18,,,07:21,07:21,07:21,07:21,07:24,07:24,07:24,,,,,,,07:29,07:29,07:30,07:30,07:30,07:33,07:33,07:33,07:35,07:35,07:35,,
Charni Road,07:16,,,07:20,07:20,,,07:23,07:23,07:23,07:23,07:26,07:26,07:26,,,,,,,07:31,07:31,07:32,07:32,07:32,07:35,07:35,07:35,07:37,07:37,07:37,,
Grant Road,07:19,,,07:23,07:23,,,07:26,07:26,07:26,07:26,07:29,07:29,07:29,,,,,,,07:34,07:34,07:35,07:35,07:35,07:38,07:38,07:38,07:40,07:40,07:40,,
M'BAI CENTRAL (L),07:21,,,07:25,07:25,,,07:28,07:28,07:28,07:28,07:31,07:31,07:31,,,07:31,07:31,,,07:36,07:36,07:37,07:37,07:37,07:40,07:40,07:40,07:42,07:42,07:42,,
Mahalakshmi,,,,07:28,07:28,,,07:31,07:31,07:31,07:31,07:34,07:34,07:34,,,,,07:38,07:38,,,07:41,07:41,07:41,07:44,07:44,07:44,,,,,
Lower Parel,,,,07:31,07:31,,,07:34,07:34,07:34,07:34,07:37,07:37,07:37,,,,,07:41,07:41,,,07:44,07:44,07:44,07:47,07:47,07:47,,,,,
Prabhadevi,,,,07:34,07:34,,,07:37,07:37,07:37,07:37,07:40,07:40,07:40,,,,,07:44,07:44,,,07:47,07:47,07:47,07:50,07:50,07:50,,,,,
DADAR,07:28,,,07:36,07:36,,,07:39,07:39,07:39,07:39,07:42,07:42,07:42,,,07:39,07:39,07:46,07:46,07:43,07:43,07:49,07:49,07:49,07:52,07:52,07:52,07:49,07:49,07:49,,
Matunga Road,,,,07:39,07:39,,,07:42,07:42,07:42,07:42,07:45,07:45,07:45,,,,,07:49,07:49,,,07:52,07:52,07:52,07:54,07:54,07:54,,,,,
Mahim Jn.,,,,07:42,07:42,,,07:45,07:45,07:45,07:45,07:48,07:48,07:48,,,,,07:52,07:52,,,07:55,07:55,07:55,07:57,07:57,07:57,,,,,
BANDRA,07:34,,,07:46,07:46,,,07:49,07:49,07:49,07:49,07:52,07:52,07:52,07:54,07:54,07:46,07:46,07:57,07:57,07:49,07:49,08:00,08:00,08:00,08:02,08:02,08:02,07:55,07:55,07:55,,
Khar Road,,,,07:49,07:49,,,07:52,07:52,07:52,07:52,07:55,07:55,07:55,07:58,07:58,,,08:01,08:01,,,08:03,08:03,08:03,08:05,08:05,08:05,,,,,
Santa Cruz,,,,07:51,07:51,,,07:54,07:54,07:54,07:54,07:57,07:57,07:57,08:00,08:00,,,08:03,08:03,,,08:05,08:05,08:05,08:07,08:07,08:07,,,,,
Vile Parle,,,,07:54,07:54,,,07:57,07:57,07:57,07:57,08:00,08:00,08:00,08:03,08:03,,,08:06,08:06,,,08:08,08:08,08:08,08:10,08:10,08:10,,,,,
ANDHERI,07:42,07:51,07:51,07:59,07:59,,,08:01,08:01,08:01,08:01,08:05,08:05,08:05,08:08,08:08,,,08:11,08:11,08:00,08:00,08:12,08:12,08:12,08:14,08:14,08:14,08:03,08:03,08:03,08:16,08:16
Jogeshwari,,,,,,,,08:04,08:04,08:04,08:04,08:08,08:08,08:08,08:11,08:11,,,08:14,08:14,,,08:16,08:16,08:16,08:17,08:17,08:17,,,,08:20,08:20
Ram Mandir,,,,,,,,08:07,08:07,08:07,08:07,08:11,08:11,08:11,08:14,08:14,,,08:17,08:17,,,08:19,08:19,08:19,08:20,08:20,08:20,,,,08:23,08:23
Goregaon,,,,,,,,08:09,08:09,08:09,08:09,08:13,08:13,08:13,08:16,08:16,08:01,08:01,08:19,08:19,,,08:23,08:23,08:23,08:22,08:22,08:22,,,,08:25,08:25
